 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|            Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                          |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
| Date  | Time  |    Sequence        | #Img | QPI| QPP| QPB| Format  | #B | Hdmd | S.R |#Ref | Freq |Intra upd|SNRY 1|SNRU 1|SNRV 1|SNRY N|SNRU N|SNRV N|#Bitr P|#Bitr B|     Total Time   |      Me Time     |
| 06/06 | 23:40 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          45657   |          22302   |
| 06/09 | 23:39 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          50189   |          21080   |
| 06/10 | 23:13 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          53264   |          22078   |
| 06/15 | 19:04 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          56733   |          23080   |
| 06/27 | 17:01 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          48827   |          20063   |
| 06/27 | 17:04 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          48407   |          20611   |
| 07/08 | 22:10 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          49762   |          20407   |
| 07/08 | 22:12 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          49408   |          19968   |
| 08/04 | 22:03 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          47279   |          19723   |
| 08/04 | 22:36 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          47409   |          19799   |
| 08/10 | 21:07 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          48509   |          20244   |
| 08/17 | 21:35 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          47749   |          20073   |
| 08/18 | 20:26 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          49062   |          20669   |
| 08/18 | 20:49 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          48227   |          20360   |
| 08/19 | 22:13 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          50140   |          21037   |
| 09/05 | 17:13 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          49280   |          20638   |
